round,phase,lr,gate,aux_scale,a_ratio,a_mean_weight,a_effective_mass_per_u,a_wrong_mass_per_u,b_ratio,b_mean_weight,b_effective_mass_per_u,b_wrong_mass_per_u,c_ratio,b_score_only_candidates,b_score_only_accuracy,b_score_only_admitted,L_sup_effective,L_A_effective,L_B_effective,L_proto_effective,loss_reconstructed,L_feature_effective,teacher_b_visits,teacher_b_precision,bc_feature_std,rec_objective,rec_probe_only,loss_observed,u_visits,local_steps,trust_authority_mean,trust_valid_fraction,trust_refreshes,trusted_weight_gate
48,1,0.14072300100328974,0.0,0.0,0.6173314144736842,0.958751832060862,0.5918676246153681,0.16485749136435945,0.0,0.0,0.0,0.0,0.3826685855263158,0,0.0,0,0.04127611612309824,0.21187584233519277,0.0,0.0,0.2572642443479517,0.004112285889660646,0,0.0,0.03683647386435615,0.19952153799761282,0,0.25726424428193195,194560,760,0.31268025197480853,0.9413959703947369,40,0.6545084971874738
49,1,0.14034103583401422,0.0,0.0,0.6113795230263158,0.9433192847285164,0.5767260943588458,0.15968953408055792,0.0,0.0,0.0,0.0,0.38862047697368424,0,0.0,0,0.04568837548155754,0.20612194820454247,0.0,0.0,0.2563969532415381,0.004586629555438106,0,0.0,0.03699844862873617,0.2014502708555052,0,0.2563969534968859,194560,760,0.3339219783089663,0.9341539884868421,40,0.7033683215379
50,1,0.13995190528383286,0.0,0.0,0.5862921463815789,0.9385843331404419,0.5502846232370326,0.1791336754680072,0.0,0.0,0.0,0.0,0.41370785361842105,0,0.0,0,0.043952746255213004,0.2075318734014505,0.0,0.0,0.25676743900495286,0.005282819348289386,0,0.0,0.03695056516873209,0.21131277001021723,0,0.25676743895991855,194560,760,0.34222018516769537,0.9133943256578947,40,0.7499999999999999
51,1,0.13955565202529577,0.0,0.0,0.6080180921052631,0.9449053907713655,0.5745195729167838,0.12022828662792515,0.0,0.0,0.0,0.0,0.39198190789473686,0,0.0,0,0.04240439610500624,0.21008192827238847,0.0,0.0,0.25783826562569867,0.005351941248303966,0,0.0,0.03651075851368277,0.19603839159796113,0,0.25783826552919653,194560,760,0.37975602506806977,0.9589997944078947,40,0.7938926261462365
52,1,0.13915231951203802,0.0,0.0,0.5969829358552632,0.9330856259789251,0.5570361964012447,0.14726374165498113,0.0,0.0,0.0,0.0,0.40301706414473687,0,0.0,0,0.032683390740452234,0.20642726893879865,0.0,0.0,0.2451291058782341,0.006018446198983216,0,0.0,0.03658966630403149,0.20289290143471014,0,0.24512910603692656,194560,760,0.3942341166107278,0.9413856907894737,40,0.8345653031794289
53,1,0.1387419519740148,0.0,0.0,0.6074270148026316,0.9252149582377217,0.5620005601330808,0.18437173188369918,0.0,0.0,0.0,0.0,0.39257298519736844,0,0.0,0,0.040409532317426056,0.20160042518063595,0.0,0.0,0.24797380271913042,0.005963845221068416,0,0.0,0.036604865174740556,0.1858961051722106,0,0.2479738029602327,194560,760,0.40957764281254067,0.9279810855263158,40,0.8715724127386972
54,1,0.13832459441265113,0.0,0.0,0.6004523026315789,0.9242214064299958,0.5549508716322874,0.19816209444972246,0.0,0.0,0.0,0.0,0.39954769736842105,0,0.0,0,0.04901202269263051,0.20840476814069245,0.0,0.0,0.26379508749339853,0.006378296660075553,0,0.0,0.03605882919540531,0.18461515105476506,0,0.2637950873590614,194560,760,0.4224612391896938,0.9348324424342105,40,0.9045084971874735
55,1,0.1379002925959068,0.0,0.0,0.6250308388157895,0.9182229052169828,0.5739176326676418,0.15383669237949346,0.0,0.0,0.0,0.0,0.37496916118421053,0,0.0,0,0.045684119307062294,0.1960198457499868,0.0,0.0,0.24827761899045742,0.006573653933408327,0,0.0,0.035976297163257474,0.17738324614535822,0,0.248277618471337,194560,760,0.4538840566222605,0.9415398848684211,40,0.9330127018922194
56,1,0.13746909305325744,0.0,0.0,0.6101459703947368,0.9298344573961755,0.5673347473144531,0.14602999899438338,0.0,0.0,0.0,0.0,0.38985402960526316,0,0.0,0,0.0413634651404879,0.19957402521058132,0.0,0.0,0.24810935494238753,0.007171864591318329,0,0.0,0.0366939593743729,0.18108750562134543,0,0.24810935527478395,194560,760,0.44198075450564683,0.9306846217105263,40,0.9567727288213005
57,1,0.13703104307059216,0.0,0.0,0.6141087582236842,0.9232688172228065,0.5669874668513474,0.1428720345977988,0.0,0.0,0.0,0.0,0.3858912417763158,0,0.0,0,0.03217582720619822,0.20058708241895626,0.0,0.0,0.24004760468930103,0.007284695064146562,0,0.0,0.03676616018147845,0.17271201191960198,0,0.24004760425733893,194560,760,0.46319003340445064,0.9401315789473684,40,0.9755282581475767
