round,client,pred_class,geometry_group,a_visits,a_correct,old_weight,new_weight,old_wrong_weight,new_wrong_weight,calibrated_visits
196,12,0,neutral,2656.0,2613.0,2468.9254665970802,2656.0,39.356048703193665,43.0,2635.0
196,12,0,distance,741.0,676.0,485.3102429509163,725.1736141443253,46.718535006046295,63.51851034164429,637.0
196,12,1,neutral,2443.0,2443.0,2394.1219551563263,2443.0,0.0,0.0,2423.0
196,12,1,distance,380.0,380.0,313.57606542110443,376.6383038163185,0.0,0.0,374.0
196,12,2,unknown,425.0,407.0,425.0,425.0,18.0,18.0,0.0
196,12,3,neutral,1817.0,538.0,1659.3048553466797,1817.0,1133.5177040696144,1279.0,1764.0
196,12,3,distance,1467.0,124.0,841.1621558666229,1414.289579629898,758.9609407782555,1293.3317452073097,911.0
196,12,3,conflict,6.0,1.0,3.002185821533203,5.0936092138290405,2.324153184890747,4.189430594444275,0.0
196,12,4,unknown,2110.0,2089.0,2110.0,2110.0,21.0,21.0,0.0
196,12,5,neutral,774.0,741.0,752.0499536991119,774.0,32.45978903770447,33.0,687.0
196,12,5,distance,254.0,191.0,205.5951110124588,249.66399174928665,47.339247822761536,61.34402960538864,200.0
196,12,6,neutral,1653.0,1509.0,1638.8195400834084,1653.0,141.51853519678116,144.0,1616.0
196,12,6,distance,543.0,360.0,398.56373512744904,529.3079617619514,124.87805634737015,176.94516396522522,404.0
196,12,7,unknown,32.0,18.0,32.0,32.0,14.0,14.0,0.0
196,12,8,neutral,596.0,575.0,582.5150125026703,596.0,18.237330675125122,21.0,595.0
196,12,8,distance,766.0,527.0,512.5742543935776,747.2075519561768,128.64221918582916,228.84355407953262,643.0
196,12,9,neutral,452.0,374.0,434.80260533094406,452.0,65.71853458881378,78.0,451.0
196,12,9,distance,581.0,115.0,342.16583573818207,561.2971330881119,250.83091282844543,447.6030490398407,397.0
196,12,9,conflict,2.0,0.0,0.6689131855964661,1.725836157798767,0.6689131855964661,1.725836157798767,0.0
197,12,0,neutral,2463.0,2441.0,2319.0143932700157,2463.0,20.04059112071991,22.0,2454.0
197,12,0,distance,1037.0,939.0,681.3017956018448,1014.7673318386078,65.1933543086052,95.000019967556,886.0
197,12,1,neutral,1632.0,1632.0,1584.0849959254265,1632.0,0.0,0.0,1609.0
197,12,1,distance,673.0,673.0,544.5698016285896,666.4235205054283,0.0,0.0,579.0
197,12,2,unknown,597.0,576.0,597.0,597.0,21.0,21.0,0.0
197,12,3,neutral,1357.0,522.0,1310.9626724123955,1357.0,791.5181860327721,835.0,1311.0
197,12,3,distance,1294.0,149.0,807.1257222294807,1248.244420170784,697.4754595160484,1102.5776407122612,726.0
197,12,3,conflict,17.0,0.0,9.17220824956894,14.769169807434082,9.17220824956894,14.769169807434082,0.0
197,12,4,unknown,2080.0,2055.0,2080.0,2080.0,25.0,25.0,0.0
197,12,5,neutral,978.0,958.0,902.6546992063522,978.0,18.09842187166214,20.0,876.0
197,12,5,distance,175.0,147.0,135.01654249429703,171.9946145415306,22.656087279319763,27.48223626613617,73.0
197,12,6,neutral,1662.0,1542.0,1639.0611869096756,1662.0,116.66003841161728,120.0,1651.0
197,12,6,distance,545.0,376.0,389.15241050720215,531.0591620802879,117.07116597890854,163.76952117681503,370.0
197,12,7,unknown,36.0,20.0,36.0,36.0,16.0,16.0,0.0
197,12,8,neutral,761.0,734.0,741.3515916466713,761.0,23.40546327829361,27.0,761.0
197,12,8,distance,604.0,368.0,394.07862424850464,587.9627392292023,127.62505108118057,226.13177871704102,467.0
197,12,9,neutral,540.0,408.0,489.24719882011414,540.0,98.34627431631088,132.0,534.0
197,12,9,distance,629.0,88.0,346.1502615213394,608.7254818081856,278.9459155201912,521.4860988259315,417.0
197,12,9,conflict,108.0,0.0,49.194135546684265,91.12315332889557,49.194135546684265,91.12315332889557,0.0
