round,phase,acc,lr,ramp,loss,L_sup,L_A,L_B,L_proto,L_feature,a_ratio,a_prec,b_ratio,b_prec,c_ratio,c_prec,a_wrong_weight,geometry_mix,geometry_valid,target_entropy,teacher_correct,fused_correct,correction_good,correction_bad,feature_std,global_valid_classes,global_prototypes,prototype_upload_bytes,update_norm_mean,clip_fraction,clip_cap,seconds,steps,u_visits,best_acc,best_round
40,main,0.5507,0.14351590932319505,0.6,0.27264191198505855,0.05084223666314134,0.0,0.14020173293783478,0.06649881815047641,0.01509912497682595,0.0,0.0,0.7077251233552632,0.7401285449725843,0.29227487664473684,0.3744834256572584,0.0,0.21711335354729702,1.0,1.0211025450574724,0.6307514391447369,0.6332596628289474,0.005258018092105263,0.002749794407894737,0.060427812217293604,10,29,247120,6.686710762865363,0.0,14.795239003376517,138.1415159702301,760,194560.0,0.6674,39
41,main,0.5851,0.14319270817853014,0.62,0.2793189124645371,0.061695270371120915,0.0,0.13578749506391194,0.06371417198036063,0.018121974673857424,0.0,0.0,0.6524876644736842,0.6945599773135457,0.3475123355263158,0.35243743714133585,0.0,0.2329828867786809,1.0,1.0983861797734311,0.5694592927631579,0.5756681743421053,0.008927837171052631,0.002718955592105263,0.061708672033426795,10,30,247120,7.458955084997955,0.0,14.685957842544527,139.47834038734436,760,194560.0,0.6674,39
42,main,0.5987,0.14286202893495145,0.64,0.3068152554137142,0.07654351873337108,0.0,0.13740140855508415,0.07008621247583315,0.022784115326296733,0.0,0.0,0.6238024259868421,0.7010719553091038,0.3761975740131579,0.35232877460959383,0.0,0.2339048353072844,1.0,1.1501881469237176,0.5658151726973685,0.5698756167763158,0.007283100328947368,0.00322265625,0.06064652107459934,10,30,247120,7.595176710041175,0.0,14.821464139594429,139.44822525978088,760,194560.0,0.6674,39
43,main,0.5929,0.14252390785516453,0.66,0.2909165022600638,0.05290595357525346,0.0,0.14448912776026288,0.0674534891977122,0.02606793111802912,0.0,0.0,0.6562397203947369,0.6878710506116951,0.3437602796052632,0.3452199395951078,0.0,0.24092822227823107,1.0,1.108014281407783,0.5662314967105263,0.570081208881579,0.006928453947368421,0.0030787417763157893,0.06519446718065362,10,30,247120,6.9813659895747815,0.0,14.888489108998016,139.20878100395203,760,194560.0,0.6674,39
44,main,0.5406,0.14217838201795596,0.68,0.30300555448783073,0.056874765643365924,0.0,0.14958194480522682,0.06975021736304227,0.026798627371164528,0.0,0.0,0.6936369243421052,0.7229722720334336,0.3063630756578947,0.3850786833540248,0.0,0.2443877295639954,1.0,1.0611064110931596,0.6182206003289473,0.6194541529605263,0.005155222039473684,0.003921669407894737,0.06995584581929602,10,29,247120,6.793319236660064,0.0,14.910197549499943,139.18020176887512,760,194560.0,0.6674,39
45,main,0.5765,0.14182548931412758,0.7,0.2978254496855171,0.05561501791349943,0.0,0.14387557863404876,0.06747477772204499,0.03086007539624054,0.0,0.0,0.6593133223684211,0.6794178178303034,0.34068667763157895,0.3556966990525617,0.0,0.2582147511996721,1.0,1.1072689915958205,0.5675164473684211,0.5691303453947368,0.006239720394736842,0.004625822368421052,0.06991022988957794,10,30,247120,7.321897139577889,0.0,14.852607205297799,137.104266166687,760,194560.0,0.6674,39
46,main,0.5489,0.14146526844234109,0.72,0.29745281130859724,0.05477221850619811,0.0,0.13946584558212444,0.0692706564931493,0.0339440904361637,0.0,0.0,0.6650339226973684,0.7432548361916391,0.33496607730263156,0.37455309877092574,0.0,0.26673821016753974,1.0,1.0970736422036824,0.6155479029605263,0.6197522615131579,0.008151726973684211,0.003947368421052632,0.06960262541021955,10,30,247120,6.921838118950243,0.0,14.895705333158556,137.78985142707825,760,194560.0,0.6674,39
47,main,0.6551,0.1410977589048744,0.74,0.30539573613358173,0.054682056155778765,0.0,0.14055891045810362,0.07122615344920441,0.0389286157601562,0.0,0.0,0.6372944078947368,0.7255387444351249,0.36270559210526315,0.36189207572837545,0.0,0.2710116963637503,1.0,1.1334753874885408,0.5868266858552632,0.5936420641447369,0.010238486842105264,0.0034231085526315787,0.06886922959973546,10,30,247120,7.0495909640424745,0.0,14.885054037163698,141.03513622283936,760,194560.0,0.6674,39
48,main,0.5661,0.14072300100328974,0.76,0.29495826087107785,0.04541350838120898,0.0,0.1411352745502403,0.06958592476715383,0.038823553660002195,0.0,0.0,0.6721422697368421,0.7434160217783623,0.3278577302631579,0.3761836082021697,0.0,0.2827733241021633,1.0,1.1104107016011289,0.6164884868421052,0.6230160361842105,0.009971217105263159,0.0034436677631578946,0.07102150380807487,10,30,247120,6.819989368903485,0.0,14.939430853617631,137.84152126312256,760,194560.0,0.6674,39
49,main,0.6195,0.1403410358340142,0.78,0.2931097075931336,0.04663161862810835,0.0,0.13431842223201929,0.0710865090846231,0.04107315713343652,0.0,0.0,0.6573550575657895,0.7915086594472028,0.3426449424342105,0.40492012300307506,0.0,0.2896890586144046,1.0,1.1256214333992256,0.6522563733552632,0.6590460526315789,0.010716488486842105,0.003926809210526316,0.07240678433721003,10,30,247120,6.540335502624072,0.0,14.773265989206825,138.84545135498047,760,194560.0,0.6674,39
50,main,0.6773,0.1399519052838329,0.8,0.28115461207926273,0.04027600305079863,0.0,0.12835567830816696,0.07050080997379203,0.042022120879080735,0.0,0.0,0.6410927220394737,0.7743143244261651,0.3589072779605263,0.3975425682739263,0.0,0.3014668428584149,1.0,1.1493968431102601,0.6363075657894737,0.6390881990131579,0.008665707236842105,0.005885074013157895,0.07533975782755174,10,30,247120,6.191848582913567,0.0,14.710067179551185,139.02419471740723,760,194560.0,0.6773,50
51,main,0.6774,0.13955565202529577,0.82,0.30295383808644194,0.04327580132671038,0.0,0.13717253888516048,0.06955657073443658,0.05294892799207254,0.0,0.0,0.6359786184210526,0.78016906963212,0.36402138157894737,0.3789252230882187,0.0,0.3030386494178521,1.0,1.1436481101732505,0.6234477796052632,0.6341077302631579,0.014453125,0.0037931743421052632,0.07135649032302593,10,30,247120,6.691201388766127,0.0,14.587873648466493,138.18253684043884,760,194560.0,0.6774,51
