round,client,epoch,cls,query_count,query_correct,own_distance_sum,margin_sum
31,5,2,4,28,27,5.76113748550415,3.391204595565796
31,5,2,5,20,18,3.3032033443450928,1.709540605545044
31,5,2,7,8,8,0.9101479649543762,1.1699092388153076
31,5,2,9,13,13,1.6791092157363892,2.4261250495910645
31,5,3,0,3,3,1.0012989044189453,0.5922884345054626
31,5,3,1,22,22,3.0658812522888184,3.54681396484375
31,5,3,3,28,26,4.668084144592285,4.536004066467285
31,5,3,4,28,27,5.594297885894775,2.729837656021118
31,5,3,5,20,19,3.3501663208007812,2.7141761779785156
31,5,3,7,8,8,0.9639233350753784,1.324432611465454
31,5,3,9,13,13,1.6157515048980713,2.318432331085205
31,5,4,0,3,3,1.0477898120880127,0.5592095851898193
31,5,4,1,22,22,3.0548510551452637,3.7006678581237793
31,5,4,3,28,27,4.920638084411621,5.4119648933410645
31,5,4,4,28,27,5.954837799072266,3.638301372528076
31,5,4,5,20,20,2.7654812335968018,3.2288012504577637
31,5,4,7,8,8,0.9760598540306091,1.383213996887207
31,5,4,9,13,13,1.5081113576889038,2.5234546661376953
31,5,5,0,3,3,0.8774818181991577,0.575985848903656
31,5,5,1,22,22,2.588682174682617,4.9015727043151855
31,5,5,3,28,28,5.635523796081543,4.280097961425781
31,5,5,4,28,27,5.547293663024902,3.4971420764923096
31,5,5,5,20,19,3.3975830078125,2.828761577606201
31,5,5,7,8,8,0.838655948638916,1.3868229389190674
31,5,5,9,13,13,1.3412878513336182,2.89279842376709
31,4,1,0,14,8,3.2700490951538086,0.012149393558502197
31,4,1,2,22,11,5.170251369476318,0.8779670596122742
31,4,1,6,27,22,4.701082229614258,3.1128005981445312
31,4,1,7,14,11,2.2419371604919434,1.3460348844528198
31,4,1,8,32,30,4.921171188354492,3.138690948486328
31,4,1,9,13,13,1.3951020240783691,2.840236186981201
31,4,2,0,14,14,2.9332900047302246,1.8318849802017212
31,4,2,2,22,19,5.518366813659668,2.561659336090088
31,4,2,6,27,27,4.221495628356934,4.521960258483887
31,4,2,7,14,13,2.056119441986084,1.716703176498413
31,4,2,8,32,32,4.649534225463867,6.0307745933532715
31,4,2,9,13,13,1.0784521102905273,2.7894651889801025
31,4,3,0,14,13,2.673915147781372,1.8667290210723877
31,4,3,2,22,22,5.022362232208252,2.868624687194824
31,4,3,6,27,27,4.090150833129883,5.975895404815674
31,4,3,7,14,14,1.9843683242797852,2.084714412689209
31,4,3,8,32,32,4.625417709350586,5.785714626312256
31,4,3,9,13,13,0.9516631364822388,2.7675399780273438
31,4,4,0,14,14,2.7479143142700195,2.1107261180877686
31,4,4,2,22,21,4.333112716674805,3.4546456336975098
31,4,4,6,27,27,3.6352977752685547,6.227541446685791
31,4,4,7,14,14,1.7764545679092407,2.4483790397644043
31,4,4,8,32,32,4.284219264984131,6.878795623779297
31,4,4,9,13,13,1.0963647365570068,3.1408700942993164
31,4,5,0,14,14,2.77323055267334,2.066359519958496
31,4,5,2,22,22,4.574169158935547,3.3403449058532715
31,4,5,6,27,27,3.959733247756958,5.79373836517334
31,4,5,7,14,14,1.8150558471679688,2.9040989875793457
31,4,5,8,32,32,4.344551086425781,5.909863471984863
31,4,5,9,13,13,1.2297818660736084,3.1572535037994385
31,0,1,0,28,21,5.864636421203613,2.1493399143218994
31,0,1,1,19,13,3.4858052730560303,0.9235861301422119
31,0,1,4,4,2,1.075748085975647,0.3430820107460022
31,0,1,6,14,12,2.5814948081970215,2.6401309967041016
31,0,1,7,3,2,0.5790128707885742,0.3296239972114563
31,0,1,8,28,25,4.683666229248047,2.823671817779541
31,0,1,9,25,21,3.1421303749084473,1.0866472721099854
31,0,2,0,28,23,5.757039546966553,3.1515040397644043
31,0,2,1,19,19,3.012434959411621,2.927112102508545
31,0,2,4,4,2,0.8996078372001648,0.35967057943344116
31,0,2,6,14,13,2.442129373550415,2.7774224281311035
31,0,2,7,3,3,0.36562931537628174,0.5071990489959717
31,0,2,8,28,28,4.074160099029541,4.535290718078613
31,0,2,9,25,25,2.4257781505584717,3.817734479904175
31,0,3,0,28,27,5.520377159118652,5.389779090881348
31,0,3,1,19,19,2.3432087898254395,3.5535690784454346
31,0,3,4,4,2,1.0135133266448975,0.5262784957885742
31,0,3,6,14,14,1.5428624153137207,3.6859049797058105
31,0,3,7,3,3,0.40474218130111694,0.5227353572845459
31,0,3,8,28,28,3.994731903076172,6.265407562255859
31,0,3,9,25,25,2.505782127380371,4.381312370300293
31,0,4,0,28,27,5.411172866821289,5.155816555023193
31,0,4,1,19,19,2.5824947357177734,3.5984768867492676
31,0,4,4,4,2,0.8092293739318848,0.557752251625061
31,0,4,6,14,14,1.7520990371704102,3.8684563636779785
31,0,4,7,3,3,0.3114350438117981,0.5638840794563293
31,0,4,8,28,28,3.936032295227051,6.166654586791992
31,0,4,9,25,25,2.4748167991638184,4.598298072814941
31,0,5,0,28,27,4.3565874099731445,5.679140567779541
31,0,5,1,19,19,2.432267665863037,3.827583074569702
31,0,5,4,4,3,0.8926849365234375,0.7756380438804626
31,0,5,6,14,14,1.6516155004501343,3.62734317779541
31,0,5,7,3,3,0.27387261390686035,0.7699077725410461
31,0,5,8,28,28,4.224228858947754,6.189986705780029
31,0,5,9,25,25,2.678044557571411,4.34140682220459
31,1,1,1,5,5,0.584216296672821,1.4088932275772095
31,1,1,2,23,18,4.767407417297363,0.7897531390190125
31,1,1,3,18,6,4.066768646240234,-0.2596566677093506
31,1,1,4,16,13,3.057938575744629,0.43698620796203613
31,1,1,5,24,20,3.0887725353240967,1.443322777748108
31,1,1,6,9,8,1.2149864435195923,1.273067593574524
31,1,1,7,27,20,3.9476001262664795,1.3779680728912354
31,1,2,1,5,5,0.34884554147720337,1.7033467292785645
31,1,2,2,23,20,4.7700910568237305,1.9786862134933472
31,1,2,3,18,14,4.367120742797852,1.191429853439331
31,1,2,4,16,14,3.207759380340576,1.7158653736114502
31,1,2,5,24,23,3.846172571182251,2.784806251525879
31,1,2,6,9,9,1.518204927444458,1.4793720245361328
31,1,2,7,27,26,3.8157103061676025,3.7501418590545654
31,1,3,1,5,5,0.35533803701400757,1.9676446914672852
31,1,3,2,23,23,4.187638282775879,3.599013328552246
31,1,3,3,18,13,4.052896499633789,1.4345107078552246
31,1,3,4,16,16,3.0100886821746826,1.8361265659332275
31,1,3,5,24,23,3.661212921142578,3.538337230682373
31,1,3,6,9,9,1.1709082126617432,2.2290918827056885
31,1,3,7,27,26,3.805246591567993,3.250880718231201
31,1,4,1,5,5,0.4235086441040039,1.828697919845581
31,1,4,2,23,21,4.6897687911987305,2.6871607303619385
31,1,4,3,18,18,3.6660468578338623,1.720719814300537
31,1,4,4,16,16,2.5245633125305176,2.352494955062866
31,1,4,5,24,24,2.8169021606445312,3.5931410789489746
31,1,4,6,9,9,0.8696258664131165,1.3186984062194824
31,1,4,7,27,26,3.6698312759399414,3.814786195755005
31,1,5,1,5,5,0.40022510290145874,1.8209559917449951
31,1,5,2,23,22,4.427639007568359,2.866356372833252
31,1,5,3,18,17,4.207022190093994,1.6264584064483643
31,1,5,4,16,16,2.9026944637298584,2.269313335418701
31,1,5,5,24,24,2.7467246055603027,3.406790256500244
31,1,5,6,9,9,1.4430510997772217,1.6691665649414062
31,1,5,7,27,27,3.4401962757110596,4.239292621612549
31,3,1,0,12,12,3.276660919189453,2.084186553955078
31,3,1,1,28,20,4.196478843688965,1.4178695678710938
31,3,1,3,27,21,5.218921661376953,0.8435669541358948
31,3,1,5,4,1,0.7723991274833679,0.08329498767852783
31,3,1,6,21,18,4.016287803649902,2.427295684814453
31,3,1,7,22,17,3.492542266845703,2.226950168609619
31,3,1,9,6,6,0.5245388746261597,0.29406607151031494
31,3,2,0,12,12,3.8719611167907715,2.480649471282959
31,3,2,1,28,28,3.4021177291870117,5.911794185638428
31,3,2,3,27,24,6.3231706619262695,3.318492889404297
31,3,2,5,4,2,1.2096292972564697,-0.04459118843078613
31,3,2,6,21,21,3.453836441040039,3.6418378353118896
31,3,2,7,22,21,3.84798002243042,4.219635486602783
31,3,2,9,6,6,0.795037031173706,1.5053277015686035
31,3,3,0,12,12,3.892273187637329,2.935378313064575
31,3,3,1,28,28,4.020376205444336,6.093574523925781
31,3,3,3,27,27,4.775608062744141,4.032949447631836
31,3,3,5,4,3,0.6127331256866455,0.6231584548950195
31,3,3,6,21,21,3.071035385131836,3.2137293815612793
31,3,3,7,22,22,3.1648762226104736,4.096602439880371
31,3,3,9,6,6,0.8269243240356445,1.2313592433929443
31,3,4,0,12,12,3.216536045074463,2.6252777576446533
31,3,4,1,28,28,3.7211689949035645,6.28109073638916
31,3,4,3,27,27,4.809268951416016,4.741891860961914
31,3,4,5,4,3,0.7038537263870239,0.6610845327377319
31,3,4,6,21,21,2.880366802215576,3.909961223602295
31,3,4,7,22,22,3.049562454223633,4.658543109893799
31,3,4,9,6,6,0.6580539345741272,1.4638688564300537
31,3,5,0,12,12,3.0635366439819336,3.520714521408081
31,3,5,1,28,28,3.1724660396575928,7.0778045654296875
31,3,5,3,27,27,5.288658142089844,4.706122398376465
31,3,5,5,4,4,0.6885573863983154,0.7581338286399841
31,3,5,6,21,21,4.001599311828613,3.933122158050537
31,3,5,7,22,22,3.097853422164917,4.293423652648926
31,3,5,9,6,6,0.6251040697097778,1.357300043106079
31,16,1,0,24,19,5.14810848236084,3.4326553344726562
31,16,1,1,20,20,3.0331344604492188,4.223504066467285
