loss,L_sup,L_A,L_B,L_proto,n_batches,cnt_u,cnt_a,cnt_b,cnt_c,hce_all,hce_hc,hce_den_hc,a_correct,a_total,round,acc,phase
0.613123001197451,0.02358604840747399,0.23591621748514865,0.5689438439513508,0.6914881301553626,95.0,24320.0,13934.25,8078.375,2307.375,7965.25,2765.375,15099.5,11781.125,13934.25,103,0.7893,2
0.6313463685151778,0.029355681040263,0.24563601208164504,0.5674812530216418,0.7261404853118093,95.0,24320.0,13680.0,8420.125,2219.875,8968.875,3490.125,15003.25,10936.5,13680.0,104,0.7861,2
0.6183571312772601,0.028977371746900883,0.24286193486891297,0.5485838014436395,0.722259236793769,95.0,24320.0,13621.625,8432.25,2266.125,8342.875,3042.5,14913.625,11239.125,13621.625,105,0.752,2
0.6150779563737543,0.023700605842627974,0.24214784420634572,0.557574264705181,0.7044237318007569,95.0,24320.0,14254.0,7897.875,2168.125,8040.125,2991.875,15266.875,11883.25,14254.0,106,0.7648,2
0.613566256981147,0.03178670843113459,0.23388162515077154,0.5579947049680509,0.6890057298697924,95.0,24320.0,13668.625,8356.25,2295.125,8397.5,3112.25,15027.625,11132.5,13668.625,107,0.8076,2
0.6027055374101589,0.027130077885598628,0.22855282291573914,0.5595768094847077,0.6723423129633852,95.0,24320.0,14529.75,7702.75,2087.5,7773.375,2969.25,15564.25,12109.25,14529.75,108,0.7474,2
0.6163542340068441,0.02559633506860241,0.24542423949429862,0.5556484061636423,0.675094553122395,95.0,24320.0,13902.75,8142.125,2275.125,9079.625,3661.0,14973.0,10913.75,13902.75,109,0.7491,2
0.6089908677888544,0.029153524065623056,0.2342570463097409,0.5557878102126875,0.6768639107283794,95.0,24320.0,14474.5,7761.5,2084.0,7637.125,2771.0,15571.625,12310.625,14474.5,110,0.793,2
0.6210229935614686,0.02844738461931947,0.24130957560907854,0.5626406971561282,0.6994568271072288,95.0,24320.0,13965.25,8109.75,2245.0,8180.75,2947.625,15253.5,11544.0,13965.25,111,0.7501,2
0.6085344536131934,0.029200615324876514,0.23847627857405887,0.5450198817802103,0.683476173328726,95.0,24320.0,14117.25,8017.125,2185.625,9213.0,3859.75,15255.125,10912.625,14117.25,112,0.7604,2
0.6113973343058636,0.027278509736673808,0.2392549259882224,0.5555700731904882,0.670788610530527,95.0,24320.0,14238.125,7840.125,2241.75,8268.0,2984.125,15181.875,11775.0,14238.125,113,0.7906,2
0.5912205215347441,0.021721647809088036,0.23116065859794616,0.5504405102055323,0.6311795952288728,95.0,24320.0,14920.75,7315.0,2084.25,6979.375,2341.125,15752.625,12968.375,14920.75,114,0.7717,2
0.6026985359427176,0.023219230690952636,0.2372811984859015,0.5567494014376089,0.6382340568460916,95.0,24320.0,14583.875,7563.25,2172.875,7878.0,2842.375,15496.5,12185.625,14583.875,115,0.7929,2
0.6051495197572206,0.026338852527490082,0.23976824418886714,0.5488828974726954,0.646009726665522,95.0,24320.0,14358.25,7726.625,2235.125,7966.875,2924.0,15279.5,11875.5,14358.25,116,0.7626,2
0.6193432960463198,0.027590406131256663,0.24439336104612602,0.5651521982723161,0.647834285231013,95.0,24320.0,13909.5,7958.875,2451.625,9423.75,3571.75,14862.125,10844.875,13909.5,117,0.7725,2
0.5927449425976528,0.026310827447511995,0.22994999490482243,0.5468124266909925,0.6307790750735685,95.0,24320.0,14667.625,7451.25,2201.125,7191.5,2304.25,15585.125,12745.75,14667.625,118,0.7949,2
0.6117627341496318,0.024355671660803064,0.24120254921481796,0.56458183715218,0.6391359468823985,95.0,24320.0,13935.125,8011.5,2373.375,9363.25,3746.25,14938.375,10771.125,13935.125,119,0.7957,2
0.5853136106149146,0.025504716067562664,0.22357444080867267,0.5484159010805582,0.6202650292923577,95.0,24320.0,14778.375,7452.75,2088.875,7763.0,2893.5,15737.25,12290.875,14778.375,120,0.7716,2
0.608600028800337,0.023890605048693128,0.2403012003651575,0.5671275239633886,0.6084446119634729,95.0,24320.0,14409.875,7649.5,2260.625,8546.5,3398.375,15295.75,11488.0,14409.875,121,0.7836,2
0.5937005345366504,0.02730855457576629,0.2331019942599692,0.5408503125372686,0.6286482927830596,95.0,24320.0,15017.0,7279.625,2023.375,7191.875,2634.25,15790.125,12728.375,15017.0,122,0.8059,2
0.5997313235543276,0.022468053208860125,0.23870570368476607,0.5523978659981175,0.6235863400917303,95.0,24320.0,14461.125,7590.875,2268.0,8588.375,3243.0,15252.875,11566.25,14461.125,123,0.8022,2
0.5889424826361631,0.0245489294060175,0.22748806305033595,0.5514498934149742,0.6118054228785792,95.0,24320.0,14874.875,7392.25,2052.875,7108.0,2527.875,15751.875,12671.5,14874.875,124,0.7872,2
0.6084645901463533,0.028212166010818787,0.24013256779626796,0.5560135106114964,0.6211310145886321,95.0,24320.0,14309.75,7747.0,2263.25,9202.625,3626.25,15120.125,11226.5,14309.75,125,0.7983,2
0.5881513561073102,0.02302647288030896,0.23168413700829996,0.5475154306935637,0.5968302929871961,95.0,24320.0,14929.75,7340.75,2049.5,7042.0,2413.25,15726.5,12928.125,14929.75,126,0.7816,2
0.590357629288184,0.022779511439148338,0.2325055567057509,0.5514354070158382,0.593548574220193,95.0,24320.0,15072.375,7145.0,2102.625,7490.125,2767.875,15774.125,12689.5,15072.375,127,0.7907,2
0.5898251547233054,0.022439060271196805,0.22940775159942478,0.5583022590922682,0.5882721245288849,95.0,24320.0,14794.0,7313.125,2212.875,7212.5,2335.75,15527.875,12811.25,14794.0,128,0.7944,2
0.5858568280935288,0.02114473850815557,0.2386457116392098,0.5384250387941536,0.5685385935792797,95.0,24320.0,15192.5,7088.75,2038.75,7361.375,2760.25,15717.75,12757.875,15192.5,129,0.7274,2
0.60662666818029,0.035814221426967136,0.23621167205274107,0.5450116703776937,0.6209493986477976,95.0,24320.0,14420.0,7670.625,2229.375,9007.125,3583.5,15299.625,11368.75,14420.0,130,0.7763,2
0.5893112038703341,0.02450116224200955,0.2357638978742455,0.5385854207763546,0.5975343201897647,95.0,24320.0,14638.75,7532.875,2148.375,8336.75,3351.0,15446.25,11764.5,14638.75,131,0.7717,2
0.5795934498310089,0.02140214692948288,0.23231157117376203,0.5362169407700238,0.5777126030702341,95.0,24320.0,14912.625,7354.5,2052.875,7854.125,3150.5,15782.875,12155.0,14912.625,132,0.8067,2
0.5855085494094774,0.01943816384668217,0.2334900822588488,0.5513858518710262,0.5688737646137414,95.0,24320.0,14690.0,7394.625,2235.375,8066.375,3042.125,15585.625,12008.5,14690.0,133,0.8121,2
0.5910233876422832,0.023462042249861714,0.23315432301085243,0.5517303348763993,0.5854185425137219,95.0,24320.0,15370.5,6909.125,2040.375,7560.5,2867.375,15998.75,12878.0,15370.5,134,0.7944,2
0.5892525236857565,0.02155629587175913,0.2358790928890046,0.549257713909212,0.571882782837278,95.0,24320.0,15363.875,6989.75,1966.375,7685.0,3077.5,15943.625,12640.625,15363.875,135,0.7874,2
0.6025732812128568,0.025573018349486547,0.24059141717459026,0.5558074788043373,0.5850510640756079,95.0,24320.0,14522.25,7607.0,2190.75,8736.125,3443.5,15468.125,11745.875,14522.25,136,0.7673,3
